Index,Ring,Middle,Thumb,Pinky
2.1010989007629415,150,124.02889221551952,0.4106034664315907,150
0,0,0,0,0
2.874334020570653,0,0,7.731680169396465,0
1.4698146927988651,0,0,33.90628025606276,0
2.257027924005426,0,0,28.710166259722897,0
2.770801967141569,0,0,30.873826203283336,0
2.459065865391436,0,0,25.41687445394936,0.26864364023240167
2.6014230352929513,0,0,27.08305507806335,0
2.649557106114657,0,0,25.76417425496121,0
1.9058470463581223,0,0,26.303144352800913,0.14362965924413656
2.53412696035269,0,0,23.820991381059457,0
1.4662309430523843,0,0,21.53105427291882,0.66269699915788
1.2697561574947496,0,0,13.056194238529784,0
150,150,150,26.702875032311407,150
150,150,150,46.42204654675834,150
150,150,150,54.79545351528059,150
150,150,150,60.303886411980365,150
150,150,150,43.60002575593556,150
